table,engine,charset,collation,insert_statements,estimated_rows
wpuw_actionscheduler_actions,MyISAM,,,103,15118
wpuw_actionscheduler_claims,MyISAM,,,1,34
wpuw_actionscheduler_groups,MyISAM,,,1,5
wpuw_actionscheduler_logs,MyISAM,,,81,45372
wpuw_aioseo_cache,MyISAM,,,141,156
wpuw_aioseo_crawl_cleanup_blocked_args,MyISAM,,,0,0
wpuw_aioseo_crawl_cleanup_logs,MyISAM,,,0,0
wpuw_aioseo_notifications,MyISAM,,,12,38
wpuw_aioseo_posts,MyISAM,,,9973,514169
wpuw_aioseo_seo_analyzer_results,MyISAM,,,1,1
wpuw_aioseo_writing_assistant_keywords,MyISAM,,,0,0
wpuw_aioseo_writing_assistant_posts,MyISAM,,,0,0
wpuw_aps_log,MyISAM,,,4,1006
wpuw_commentmeta,MyISAM,,,1,20
wpuw_comments,MyISAM,,,2,80
wpuw_ddp_log,InnoDB,,,1,3
wpuw_ddp_redirects,InnoDB,,,0,0
wpuw_links,MyISAM,,,0,0
wpuw_litespeed_url,MyISAM,,,0,0
wpuw_litespeed_url_file,MyISAM,,,0,0
wpuw_mclean_refs,MyISAM,,,12,12496
wpuw_mclean_scan,MyISAM,,,0,0
wpuw_options,MyISAM,,,18,735
wpuw_postmeta,MyISAM,,,8687,2785708
wpuw_posts,MyISAM,,,4291,514186
wpuw_rank_math_404_logs,MyISAM,,,1,5
wpuw_rank_math_analytics_objects,MyISAM,,,284,78086
wpuw_rank_math_internal_links,MyISAM,,,0,0
wpuw_rank_math_internal_meta,MyISAM,,,59,174402
wpuw_rank_math_redirections,MyISAM,,,0,0
wpuw_rank_math_redirections_cache,MyISAM,,,0,0
wpuw_rank_math_sc_analytics,MyISAM,,,0,0
wpuw_tdrd_log_details,MyISAM,,,0,0
wpuw_tdrd_redirection,MyISAM,,,0,0
wpuw_term_relationships,MyISAM,,,967,2812102
wpuw_term_taxonomy,MyISAM,,,54,73367
wpuw_termmeta,MyISAM,,,0,0
wpuw_terms,MyISAM,,,61,73367
wpuw_tm_taskmeta,MyISAM,,,86,23699
wpuw_tm_tasks,MyISAM,,,74,23699
wpuw_usermeta,MyISAM,,,1,48
wpuw_users,MyISAM,,,1,1
wpuw_wpie_template,MyISAM,,,5,5
wpuw_yoast_indexable,MyISAM,,,2362,233371
wpuw_yoast_indexable_hierarchy,MyISAM,,,78,233368
wpuw_yoast_migrations,MyISAM,,,1,24
wpuw_yoast_primary_term,MyISAM,,,0,0
wpuw_yoast_seo_links,MyISAM,,,1,1
wpuw_yydev_tagmanager,MyISAM,,,1,3
